,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
154,12218829,JD428601,11/10/20 18:00,047XX S LAKE PARK AVE,820,THEFT,$500 AND UNDER,SIDEWALK,False,False,222,2,4,39,6,,,2020,11/17/20 15:49,,,
155,12218081,JD427728,11/10/20 20:05,014XX W 114TH PL,560,ASSAULT,SIMPLE,RESIDENCE,False,True,2234,22,34,75,08A,,,2020,11/17/20 15:49,,,
157,12217691,JD427201,11/10/20 13:09,013XX S KARLOV AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,False,1011,10,24,29,15,,,2020,11/17/20 15:49,,,
158,12217348,JD426920,11/10/20 8:45,048XX W BERWYN AVE,630,BURGLARY,ATTEMPT FORCIBLE ENTRY,RESIDENCE,False,False,1621,16,39,12,5,,,2020,11/17/20 15:49,,,
159,12217136,JD426709,11/10/20 1:12,038XX W 82ND ST,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,SIDEWALK,False,False,834,8,18,70,15,,,2020,11/17/20 15:49,,,
160,12222877,JD432845,10/2/20 9:40,012XX W WESTGATE TER,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,False,False,1231,12,28,28,11,,,2020,11/17/20 15:49,,,
161,12217642,JD427303,11/10/20 14:02,008XX W IRVING PARK RD,560,ASSAULT,SIMPLE,HOSPITAL BUILDING / GROUNDS,False,False,1915,19,46,3,08A,,,2020,11/17/20 15:49,,,
163,12218119,JD427805,11/10/20 23:30,043XX W HADDON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,STREET,False,False,1111,11,37,23,14,,,2020,11/17/20 15:49,,,
164,12217186,JD426750,11/10/20 3:54,009XX E 52ND ST,810,THEFT,OVER $500,STREET,False,False,233,2,5,41,6,,,2020,11/17/20 15:49,,,
165,12222456,JD432872,11/3/20 14:00,015XX W BIRCHWOOD AVE,820,THEFT,$500 AND UNDER,APARTMENT,False,False,2422,24,49,1,6,,,2020,11/17/20 15:49,,,
166,12218129,JD427819,11/10/20 22:00,049XX S DR MARTIN LUTHER KING JR DR,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,223,2,3,38,7,,,2020,11/17/20 15:49,,,
167,12220686,JD426742,11/10/20 3:45,079XX S MARYLAND AVE,820,THEFT,$500 AND UNDER,APARTMENT,False,False,624,6,8,44,6,,,2020,11/17/20 15:49,,,
169,12217511,JD427145,11/10/20 12:21,038XX W ROOSEVELT RD,1220,DECEPTIVE PRACTICE,THEFT OF LOST / MISLAID PROPERTY,STREET,True,False,1011,10,24,29,11,,,2020,11/17/20 15:49,,,
170,12219613,JD429422,11/10/20 12:00,059XX N KOLMAR AVE,1120,DECEPTIVE PRACTICE,FORGERY,RESIDENCE,False,False,1711,17,39,12,10,,,2020,11/17/20 15:49,,,
171,12217784,JD427455,11/10/20 11:00,043XX W BELLE PLAINE AVE,890,THEFT,FROM BUILDING,APARTMENT,False,False,1722,17,45,16,6,,,2020,11/17/20 15:49,,,
172,12217911,JD427659,11/10/20 13:00,028XX N PINE GROVE AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,False,False,1934,19,44,6,11,,,2020,11/17/20 15:49,,,
173,12218255,JD427161,11/10/20 13:00,059XX W MADISON ST,558,ASSAULT,AGGRAVATED PROTECTED EMPLOYEE - OTHER DANGEROUS WEAPON,CTA BUS STOP,False,False,1513,15,29,25,04A,,,2020,11/17/20 15:49,,,
174,12222484,JD429942,5/9/20 0:01,055XX S MASON AVE,460,BATTERY,SIMPLE,RESIDENCE,False,False,811,8,23,56,08B,,,2020,11/17/20 15:49,,,
175,12222370,JD432756,11/1/20 16:00,023XX W WALTON ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,False,False,1212,12,1,24,11,,,2020,11/17/20 15:49,,,
176,12217660,JD427204,11/10/20 12:35,006XX E BOWEN AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,VEHICLE NON-COMMERCIAL,False,False,214,2,4,38,04A,,,2020,11/17/20 15:49,,,
177,12222807,JD433019,10/24/20 18:50,025XX S HARDING AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE - GARAGE,False,False,1013,10,22,30,14,,,2020,11/17/20 15:49,,,
180,12219427,JD429271,11/10/20 13:12,021XX N MOBILE AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,2512,25,36,19,11,,,2020,11/17/20 15:49,,,
181,12217197,JD426761,11/10/20 4:40,006XX W BARRY AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE - YARD (FRONT / BACK),False,False,1934,19,44,6,14,,,2020,11/17/20 15:49,,,
183,12217401,JD426849,11/10/20 0:01,046XX S CICERO AVE,610,BURGLARY,FORCIBLE ENTRY,GAS STATION,False,False,815,8,22,56,5,,,2020,11/17/20 15:49,,,
184,12217872,JD427579,11/10/20 15:00,052XX S CAMPBELL AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,923,9,14,63,11,,,2020,11/17/20 15:49,,,
185,12218693,JD428305,11/10/20 21:00,108XX S VERNON AVE,820,THEFT,$500 AND UNDER,APARTMENT,False,True,513,5,9,49,6,,,2020,11/17/20 15:49,,,
186,12218800,JD428636,11/10/20 18:30,049XX S WOOD ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,931,9,20,61,14,,,2020,11/17/20 15:49,,,
187,12220406,JD430574,11/10/20 14:00,053XX S COTTAGE GROVE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,False,True,233,2,5,41,08B,,,2020,11/17/20 15:49,,,
188,12217936,JD427683,11/10/20 19:30,060XX S PRAIRIE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,311,3,20,40,14,,,2020,11/17/20 15:49,,,
189,12198265,JD337234,8/18/20 13:45,002XX S CANAL ST,1812,NARCOTICS,POSSESS - CANNABIS MORE THAN 30 GRAMS,OTHER RAILROAD PROPERTY / TRAIN DEPOT,False,False,121,1,42,28,18,,,2020,11/17/20 15:49,,,
190,12217822,JD427466,11/10/20 16:20,003XX N CENTRAL AVE,460,BATTERY,SIMPLE,CONVENIENCE STORE,False,False,1523,15,37,25,08B,,,2020,11/17/20 15:49,,,
191,12218040,JD427712,11/10/20 20:30,0000X S PULASKI RD,320,ROBBERY,STRONG ARM - NO WEAPON,SIDEWALK,False,False,1122,11,28,26,3,,,2020,11/17/20 15:49,,,
192,12222616,JD432790,11/1/20 1:40,079XX S STONY ISLAND AVE,810,THEFT,OVER $500,STREET,False,False,411,4,8,45,6,,,2020,11/17/20 15:49,,,
193,12217584,JD427229,11/10/20 12:00,006XX N PULASKI RD,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,CTA PARKING LOT / GARAGE / OTHER PROPERTY,True,False,1111,11,37,23,18,,,2020,11/17/20 15:49,,,
194,12218062,JD427759,11/10/20 21:40,032XX S PAULINA ST,460,BATTERY,SIMPLE,APARTMENT,False,False,912,9,12,59,08B,,,2020,11/17/20 15:49,,,
195,12218395,JD427293,11/10/20 14:05,014XX N CALIFORNIA AVE,560,ASSAULT,SIMPLE,OTHER (SPECIFY),False,False,1423,14,1,24,08A,,,2020,11/17/20 15:49,,,
