ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12218394,JD427713,11/10/20 20:35,016XX N MILWAUKEE AVE,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,FALSE,FALSE,1434,14,2,24,6,,,2020,11/17/20 15:49,,,
12223133,JD433572,10/30/20 12:00,049XX S CORNELL AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,FALSE,FALSE,222,2,5,39,11,,,2020,11/17/20 15:49,,,
12217457,JD427037,11/10/20 10:45,062XX S STONY ISLAND AVE,545,ASSAULT,"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",SCHOOL - PUBLIC GROUNDS,FALSE,TRUE,314,3,5,42,08A,,,2020,11/17/20 15:49,,,
12217790,JD427396,11/10/20 12:56,060XX S PRAIRIE AVE,820,THEFT,$500 AND UNDER,RESIDENCE - PORCH / HALLWAY,FALSE,FALSE,311,3,20,40,6,,,2020,11/17/20 15:49,,,
12222482,JD432796,11/9/20 11:00,043XX W WASHINGTON BLVD,810,THEFT,OVER $500,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,1114,11,28,26,6,,,2020,11/17/20 15:49,,,
12222837,JD433166,10/16/20 9:48,024XX N RUTHERFORD AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,FALSE,FALSE,2512,25,36,18,11,,,2020,11/17/20 15:49,,,
12219671,JD427383,11/10/20 15:16,025XX S WASHTENAW AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,FALSE,1034,10,24,30,08B,,,2020,11/17/20 15:49,,,
12221644,JD431880,11/10/20 9:00,056XX N OSCEOLA AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,FALSE,FALSE,1612,16,41,10,11,,,2020,11/17/20 15:49,,,
12219456,JD429311,11/10/20 9:15,002XX W 31ST ST,340,ROBBERY,ATTEMPT STRONG ARM - NO WEAPON,GAS STATION,FALSE,FALSE,915,9,11,34,3,,,2020,11/17/20 15:49,,,
12222433,JD432784,10/18/20 7:00,033XX N NEWCASTLE AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,FALSE,FALSE,1632,16,36,17,11,,,2020,11/17/20 15:49,,,
12217743,JD427475,11/10/20 16:30,049XX W HARRISON ST,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,FALSE,FALSE,1533,15,29,25,08A,,,2020,11/17/20 15:49,,,
12222538,JD432819,11/3/20 9:40,062XX S DR MARTIN LUTHER KING JR DR,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,311,3,20,40,6,,,2020,11/17/20 15:49,,,
12217384,JD427055,11/10/20 0:01,022XX W WARREN BLVD,1320,CRIMINAL DAMAGE,TO VEHICLE,ALLEY,FALSE,FALSE,1223,12,27,28,14,,,2020,11/17/20 15:49,,,
12218124,JD427719,11/10/20 20:48,001XX W DIVISION ST,313,ROBBERY,ARMED - OTHER DANGEROUS WEAPON,GROCERY FOOD STORE,FALSE,FALSE,1821,18,2,8,3,,,2020,11/17/20 15:49,,,
12217819,JD427464,11/10/20 16:15,059XX S WINCHESTER AVE,460,BATTERY,SIMPLE,RESIDENCE,FALSE,FALSE,714,7,16,67,08B,,,2020,11/17/20 15:49,,,
12217540,JD427001,11/10/20 10:01,050XX S PRINCETON AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,SIDEWALK,TRUE,FALSE,935,9,3,37,15,,,2020,11/17/20 15:49,,,
12219658,JD428654,11/10/20 0:00,046XX W WAVELAND AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,1731,17,30,15,7,,,2020,11/17/20 15:49,,,
12217912,JD427411,11/10/20 15:39,035XX W FRANKLIN BLVD,496,BATTERY,AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT,RESIDENCE,FALSE,TRUE,1121,11,27,23,04B,,,2020,11/17/20 15:49,,,
12219399,JD429315,11/10/20 8:00,006XX N FRANKLIN ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,FALSE,FALSE,1831,18,42,8,11,,,2020,11/17/20 15:49,,,
12218107,JD427783,11/10/20 13:30,068XX S CHAMPLAIN AVE,497,BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,APARTMENT,FALSE,TRUE,321,3,20,42,04B,,,2020,11/17/20 15:49,,,
12217501,JD426995,11/10/20 10:30,092XX S SAGINAW AVE,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,RESIDENCE - GARAGE,FALSE,FALSE,423,4,7,48,3,,,2020,11/17/20 15:49,,,
12220184,JD426763,11/10/20 4:57,081XX S HONORE ST,820,THEFT,$500 AND UNDER,DRIVEWAY - RESIDENTIAL,FALSE,FALSE,614,6,17,71,6,,,2020,11/17/20 15:49,,,
12218595,JD428396,11/10/20 17:00,044XX N TROY ST,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1724,17,33,14,6,,,2020,11/17/20 15:49,,,
12222902,JD433028,10/6/20 10:00,018XX E 79TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,SMALL RETAIL STORE,FALSE,FALSE,414,4,8,46,14,,,2020,11/17/20 15:49,,,
12217603,JD427163,11/10/20 12:30,079XX S ASHLAND AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,611,6,21,71,14,,,2020,11/17/20 15:49,,,
12222844,JD433145,11/4/20 7:57,047XX S HERMITAGE AVE,1242,DECEPTIVE PRACTICE,COMPUTER FRAUD,RESIDENCE,FALSE,FALSE,931,9,15,61,11,,,2020,11/17/20 15:49,,,
12217679,JD427347,11/10/20 14:00,074XX S STONY ISLAND AVE,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,STREET,FALSE,FALSE,324,3,8,43,15,,,2020,11/17/20 15:49,,,
12218181,JD427792,11/10/20 19:50,057XX S DORCHESTER AVE,031A,ROBBERY,ARMED - HANDGUN,STREET,FALSE,FALSE,235,2,5,41,3,,,2020,11/17/20 15:49,,,
12217286,JD426895,11/10/20 9:00,069XX S STONY ISLAND AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE - COMMERCIAL,FALSE,FALSE,332,3,5,43,14,,,2020,11/17/20 15:49,,,
12218369,JD428126,11/10/20 18:00,0000X E 61ST ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),FALSE,FALSE,311,3,20,40,7,,,2020,11/17/20 15:49,,,
12217720,JD427040,11/10/20 1:30,087XX S MARSHFIELD AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,2221,22,21,71,6,,,2020,11/17/20 15:49,,,
12217130,JD426700,11/10/20 0:53,041XX W BELMONT AVE,460,BATTERY,SIMPLE,OTHER (SPECIFY),FALSE,FALSE,1731,17,30,16,08B,,,2020,11/17/20 15:49,,,
12218458,JD427278,11/10/20 12:20,124XX S WENTWORTH AVE,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,STREET,FALSE,FALSE,523,5,9,53,17,,,2020,11/17/20 15:49,,,
12222927,JD433258,11/9/20 11:28,020XX W JARVIS AVE,1585,SEX OFFENSE,OTHER,APARTMENT,FALSE,FALSE,2424,24,49,1,17,,,2020,11/17/20 15:49,,,
12217161,JD426736,11/10/20 1:00,025XX W MARQUETTE RD,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,FALSE,832,8,17,66,14,,,2020,11/17/20 15:49,,,
12217960,JD427327,11/10/20 12:35,015XX W GEORGE ST,820,THEFT,$500 AND UNDER,ALLEY,FALSE,FALSE,1932,19,32,6,6,,,2020,11/17/20 15:49,,,
